valid_time,latitude,longitude,tp,number,expver,location
13-01-2021 00:00,13,77.75,9.54E-07,0,1,bangalore
13-01-2021 00:00,12.75,77.5,0,0,1,bangalore
13-01-2021 00:00,12.75,77.75,1.91E-06,0,1,bangalore
13-01-2021 06:00,13,77.5,0,0,1,bangalore
13-01-2021 06:00,13,77.75,0,0,1,bangalore
13-01-2021 06:00,12.75,77.5,8.58E-06,0,1,bangalore
13-01-2021 06:00,12.75,77.75,8.58E-06,0,1,bangalore
13-01-2021 12:00,13,77.5,0,0,1,bangalore
13-01-2021 12:00,13,77.75,0,0,1,bangalore
13-01-2021 12:00,12.75,77.5,0,0,1,bangalore
13-01-2021 12:00,12.75,77.75,0,0,1,bangalore
13-01-2021 18:00,13,77.5,0,0,1,bangalore
13-01-2021 18:00,13,77.75,0,0,1,bangalore
13-01-2021 18:00,12.75,77.5,0,0,1,bangalore
13-01-2021 18:00,12.75,77.75,0,0,1,bangalore
14-01-2021 00:00,13,77.5,0,0,1,bangalore
14-01-2021 00:00,13,77.75,0,0,1,bangalore
14-01-2021 00:00,12.75,77.5,0,0,1,bangalore
14-01-2021 00:00,12.75,77.75,0,0,1,bangalore
14-01-2021 06:00,13,77.5,0,0,1,bangalore
14-01-2021 06:00,13,77.75,9.54E-07,0,1,bangalore
14-01-2021 06:00,12.75,77.5,9.54E-07,0,1,bangalore
14-01-2021 06:00,12.75,77.75,2.86E-06,0,1,bangalore
14-01-2021 12:00,13,77.5,9.06E-06,0,1,bangalore
14-01-2021 12:00,13,77.75,3.43E-05,0,1,bangalore
14-01-2021 12:00,12.75,77.5,6.72E-05,0,1,bangalore
14-01-2021 12:00,12.75,77.75,8.11E-05,0,1,bangalore
14-01-2021 18:00,13,77.5,0,0,1,bangalore
14-01-2021 18:00,13,77.75,0,0,1,bangalore
14-01-2021 18:00,12.75,77.5,0,0,1,bangalore
14-01-2021 18:00,12.75,77.75,0,0,1,bangalore
15-01-2021 00:00,13,77.5,0,0,1,bangalore
15-01-2021 00:00,13,77.75,0,0,1,bangalore
15-01-2021 00:00,12.75,77.5,0,0,1,bangalore
15-01-2021 00:00,12.75,77.75,0,0,1,bangalore
15-01-2021 06:00,13,77.5,0,0,1,bangalore
15-01-2021 06:00,13,77.75,0,0,1,bangalore
15-01-2021 06:00,12.75,77.5,0,0,1,bangalore
15-01-2021 06:00,12.75,77.75,0,0,1,bangalore
15-01-2021 12:00,13,77.5,0,0,1,bangalore
15-01-2021 12:00,13,77.75,0,0,1,bangalore
15-01-2021 12:00,12.75,77.5,0,0,1,bangalore
15-01-2021 12:00,12.75,77.75,0,0,1,bangalore
15-01-2021 18:00,13,77.5,0,0,1,bangalore
15-01-2021 18:00,13,77.75,0,0,1,bangalore
15-01-2021 18:00,12.75,77.5,0,0,1,bangalore
15-01-2021 18:00,12.75,77.75,0,0,1,bangalore
16-01-2021 00:00,13,77.5,0,0,1,bangalore
16-01-2021 00:00,13,77.75,0,0,1,bangalore
16-01-2021 00:00,12.75,77.5,9.54E-07,0,1,bangalore
16-01-2021 00:00,12.75,77.75,9.54E-07,0,1,bangalore
16-01-2021 06:00,13,77.5,3.81E-05,0,1,bangalore
16-01-2021 06:00,13,77.75,1.53E-05,0,1,bangalore
16-01-2021 06:00,12.75,77.5,4.53E-05,0,1,bangalore
16-01-2021 06:00,12.75,77.75,2.00E-05,0,1,bangalore
16-01-2021 12:00,13,77.5,0,0,1,bangalore
16-01-2021 12:00,13,77.75,0,0,1,bangalore
16-01-2021 12:00,12.75,77.5,0,0,1,bangalore
16-01-2021 12:00,12.75,77.75,0,0,1,bangalore
16-01-2021 18:00,13,77.5,0,0,1,bangalore
16-01-2021 18:00,13,77.75,0,0,1,bangalore
16-01-2021 18:00,12.75,77.5,0,0,1,bangalore
16-01-2021 18:00,12.75,77.75,0,0,1,bangalore
17-01-2021 00:00,13,77.5,0,0,1,bangalore
17-01-2021 00:00,13,77.75,0,0,1,bangalore
17-01-2021 00:00,12.75,77.5,0,0,1,bangalore
17-01-2021 00:00,12.75,77.75,0,0,1,bangalore
17-01-2021 06:00,13,77.5,0,0,1,bangalore
17-01-2021 06:00,13,77.75,0,0,1,bangalore
17-01-2021 06:00,12.75,77.5,0,0,1,bangalore
17-01-2021 06:00,12.75,77.75,0,0,1,bangalore
17-01-2021 12:00,13,77.5,0,0,1,bangalore
17-01-2021 12:00,13,77.75,0,0,1,bangalore
17-01-2021 12:00,12.75,77.5,0,0,1,bangalore
17-01-2021 12:00,12.75,77.75,0,0,1,bangalore
17-01-2021 18:00,13,77.5,0,0,1,bangalore
17-01-2021 18:00,13,77.75,0,0,1,bangalore
17-01-2021 18:00,12.75,77.5,0,0,1,bangalore
17-01-2021 18:00,12.75,77.75,0,0,1,bangalore
18-01-2021 00:00,13,77.5,0,0,1,bangalore
18-01-2021 00:00,13,77.75,0,0,1,bangalore
18-01-2021 00:00,12.75,77.5,0,0,1,bangalore
18-01-2021 00:00,12.75,77.75,0,0,1,bangalore
18-01-2021 06:00,13,77.5,0,0,1,bangalore
18-01-2021 06:00,13,77.75,0,0,1,bangalore
18-01-2021 06:00,12.75,77.5,0,0,1,bangalore
18-01-2021 06:00,12.75,77.75,0,0,1,bangalore
18-01-2021 12:00,13,77.5,0,0,1,bangalore
18-01-2021 12:00,13,77.75,0,0,1,bangalore
18-01-2021 12:00,12.75,77.5,0,0,1,bangalore
18-01-2021 12:00,12.75,77.75,0,0,1,bangalore
18-01-2021 18:00,13,77.5,0,0,1,bangalore
18-01-2021 18:00,13,77.75,0,0,1,bangalore
18-01-2021 18:00,12.75,77.5,0,0,1,bangalore
18-01-2021 18:00,12.75,77.75,0,0,1,bangalore
19-01-2021 00:00,13,77.5,0,0,1,bangalore
19-01-2021 00:00,13,77.75,0,0,1,bangalore
19-01-2021 00:00,12.75,77.5,0,0,1,bangalore
19-01-2021 00:00,12.75,77.75,0,0,1,bangalore
19-01-2021 06:00,13,77.5,0,0,1,bangalore
19-01-2021 06:00,13,77.75,0,0,1,bangalore
19-01-2021 06:00,12.75,77.5,0,0,1,bangalore
19-01-2021 06:00,12.75,77.75,0,0,1,bangalore
19-01-2021 12:00,13,77.5,0,0,1,bangalore
19-01-2021 12:00,13,77.75,0,0,1,bangalore
19-01-2021 12:00,12.75,77.5,0,0,1,bangalore
19-01-2021 12:00,12.75,77.75,0,0,1,bangalore
19-01-2021 18:00,13,77.5,0,0,1,bangalore
19-01-2021 18:00,13,77.75,0,0,1,bangalore
19-01-2021 18:00,12.75,77.5,0,0,1,bangalore
19-01-2021 18:00,12.75,77.75,0,0,1,bangalore
20-01-2021 00:00,13,77.5,0,0,1,bangalore
20-01-2021 00:00,13,77.75,0,0,1,bangalore
20-01-2021 00:00,12.75,77.5,0,0,1,bangalore
20-01-2021 00:00,12.75,77.75,0,0,1,bangalore
20-01-2021 06:00,13,77.5,0,0,1,bangalore
20-01-2021 06:00,13,77.75,0,0,1,bangalore
20-01-2021 06:00,12.75,77.5,0,0,1,bangalore
20-01-2021 06:00,12.75,77.75,0,0,1,bangalore
20-01-2021 12:00,13,77.5,0,0,1,bangalore
20-01-2021 12:00,13,77.75,0,0,1,bangalore
20-01-2021 12:00,12.75,77.5,0,0,1,bangalore
20-01-2021 12:00,12.75,77.75,0,0,1,bangalore
20-01-2021 18:00,13,77.5,0,0,1,bangalore
20-01-2021 18:00,13,77.75,0,0,1,bangalore
20-01-2021 18:00,12.75,77.5,0,0,1,bangalore
